time	ID_506	Bio_prot	Bio_SPs	ID_508	ID_142	Tsp_alaL_c
0	-0.0009283094606034935	-0.0015021888732088058	-0.0001627771863009062	0	0	-0.036001866544447564
1	-0.0010986111785573273	-0.0017777708387661552	-0.00019263924808870058	0	0	-0.046757181897406956
2	-0.0013004212964678648	-0.0021043396463587055	-0.0002280262440794293	0	0	-0.060355099242602635
3	-0.0015376792315048018	-0.0024882700545022195	-0.0002696289431058605	0	0	-0.07729485018880468
4	-0.0018141650280044661	-0.0029356789248503263	-0.0003181101682967814	0	0	-0.09799368861284882
5	-0.0021198978406563418	-0.0034304152696053502	-0.00037171979861443577	0	0	-0.12265493166806207
6	-0.0024613121176000753	-0.003982891302377967	-0.0004315861015256765	0	0	-0.15108365359793655
7	-0.002822195100342055	-0.0045668715635001364	-0.0004948662026208747	0	0	-0.1824700228592177
8	0	0	0	0	0	-0.2151987521053656
9	0	0	0	0	0	-0.24678739156037435
10	0	0	0	0	0	-0.2740752120123471
11	0	0	0	0	0	-0.29373302690251285
12	0	0	0	0	0	-0.30302148173145677
13	0	0	0	0	0	-0.30054745059965315
14	0	0	0	0	0	-0.28668817542317493
15	0	0	0	0	0	-0.2634739506751189
16	0	0	0	0	0	-0.23398869063781158
17	0	0	0	0	0	-0.20157325643400256
18	-0.0014551498649924498	-0.00235472116661839	-0.0002551575856137934	0	0	-0.1691496718559541
19	-0.0037920620734441858	-0.0061363087364656906	-0.0006649304146834221	0	0	-0.13884595428167495
20	-0.004621774094326358	-0.007478947391603943	-0.0008104187393542033	0	0	-0.11192496858963612
21	-0.004592643712246524	-0.007431808654264996	-0.0008053107857761549	0	0	-0.08891447131376269
22	-0.0041370911681518265	-0.006694634261518704	-0.0007254305685781666	0	0	-0.06981857629919073
23	-0.0035176217506234075	-0.005692209848328543	-0.0006168078591648809	0	0	-0.05432553850682915
24	-0.0028799928653720445	-0.004660399813732493	-0.0005050009238160529	0	0	-0.04197106613471698
25	-0.0022964309706254554	-0.003716080896044113	-0.0004026745258953401	0	0	-0.032248532854199534
26	-0.0017959809191695568	-0.0029062534292367626	-0.0003149216215920956	0	0	-0.02467380059910704
27	-0.0013840875416254676	-0.0022397282294473724	-0.00024269695094291725	0	0	-0.018817359084436408
28	-0.001054486235815382	-0.0017063679275270145	-0.00018490202862682728	0	0	-0.014315639092790816
29	-0.0007960462524180546	-0.0012881607628608819	-0.00013958510026360516	0	0	-0.01087046813011457
30	-0.0005964809379841815	-0.0009652244926368438	-0.00010459172602212839	0	0	-0.008242655555358854
31	-0.0004441970185543807	-0.0007187988996160029	-7.788904876239007e-05	0	0	-0.0062433395461134415
32	-0.00032908474666459376	-0.0005325244067435405	-5.7704344714730036e-05	0	0	-0.004725104488297356
33	-0.0002427352547875234	-0.0003927937981373945	-4.256313596616806e-05	0	0	-0.0035738550549233475
34	-0.0001783703932707583	-0.0002886386829527951	-3.127688768476488e-05	0	0	-0.002701836275914322
35	-0.00013064658307189006	-0.0002114120901943166	-2.2908614093456148e-05	0	0	-0.0020418664275902694
36	-9.54201440940248e-05	-0.0001544087234065678	-1.6731729268335688e-05	-0.002583455915469411	0	-0.0015426926108623776
37	-6.951838671645086e-05	-0.00011249454135799674	-1.2189908501552525e-05	-0.01114940745824329	0	-0.0011653158512088568
38	-5.053633707463536e-05	-8.177781921655147e-05	-8.861444490305518e-06	-0.01397608814253072	0	-0.000880119358146276
39	-3.666569816147589e-05	-5.9332373679349285e-05	-6.429256011894288e-06	-0.015138714181310351	0	-0.0006646444640081201
40	-2.6555863635239687e-05	-4.297265574065537e-05	-4.656516976057416e-06	-0.014010329857261925	-0.00032092097539221517	-0.0005018794054553971
41	-1.920368794364539e-05	-3.107537688430366e-05	-3.3673278391831444e-06	-0.011225053244765335	-0.00023207176955917792	-0.00037894901973843106
42	-1.386760879039303e-05	-2.2440542197424465e-05	-2.431657152512915e-06	-0.007399772647386413	-0.0001675865865444797	-0.0002861150013620878
43	-1.0001646797172895e-05	-1.6184648729864593e-05	-1.7537685363681271e-06	-0.003872161915052588	-0.00012086891257547388	-0.00021601513583758848
44	0	-1.1659478282775457e-05	-1.2634210667215484e-06	-0.0007956006542664725	-8.707439282484524e-05	-0.00016308553366757843
45	0	-8.390880980652201e-06	0	-7.131938074490807e-05	0	-0.00012312249617939657
46	0	-6.032953700443363e-06	0	-5.1277872129773785e-05	0	-9.295063809471649e-05
47	0	-4.333943399477454e-06	0	-3.683691380604698e-05	0	-7.017170805334344e-05
48	0	0	0	-2.644235750984843e-05	0	-5.297460480763952e-05
