	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.23664977652386	261.19275	0.023504252788171698	0
1	Mannitol	l	73.93060102702191	307.99356	0.027303530645610863	0
2	Mannitol	l	73.84694090768778	272.78403	0.035019157593268346	0
3	Mannitol	l	73.72415442019843	267.40198	0.02449008830123489	0
4	Mannitol	l	73.64638665726221	597.00183	0.04272031367199247	0
5	Mannitol	l	73.57346538554972	219.29443	0.03588273985297974	0
6	Mannitol	l	73.44978204333668	392.63538	0.033369020493466905	0
7	Mannitol	l	73.36708860922062	468.34814	0.03151771617248755	0
8	Mannitol	l	72.17942026157252	788.8474	0.03381041096122317	0
9	Mannitol	l	72.09598800283007	569.6802	0.03588353187834059	0
10	Mannitol	l	71.9719969546247	486.79135	0.034325431495147996	0
11	Mannitol	l	71.88714286984884	524.5871	0.03752621615035423	0
12	Mannitol	l	66.06749922405226	1677.19	0.029725633984611477	0
13	Mannitol	l	65.79493420949879	1561.4073	0.03040274713856661	0
14	Ethanol	l	60.268905406337666	277.40594	0.022087920248594628	0
15	Ethanol	l	60.02148165581818	278.33972	0.02396257039953298	0
16	Acetate	l	26.07208697478208	211.37254	0.02421556371430711	0
17	Acetate	l	25.72321179626053	235.12958	0.02767772592693518	0
18	Ethanol	l	19.61458442007924	327.12866	0.018860738103768426	0
19	Ethanol	l	19.36745367251379	334.9396	0.02245911415971591	0
20	Alanine	l	18.97597441063334	317.01804	0.023523252737419398	0
21	Alanine	l	18.742108351376316	273.01154	0.0346681433085223	0
