,parameter,values,met_id,met_name
0,L,23.37581440447315,mnl1p,Mannitol
1,k,-0.17466506415701716,mnl1p,Mannitol
2,x0,16.57936564417816,mnl1p,Mannitol
3,C,4.404185595526848,mnl1p,Mannitol
0,L,6.4316204260208085,ac,Acetate
1,k,1.075424726549672,ac,Acetate
2,x0,13.463940706088824,ac,Acetate
0,L,2.93897713243474,alaL,Alanine
1,k,0.3591572064129787,alaL,Alanine
2,x0,17.669419630712863,alaL,Alanine
0,L,13.223098406518627,eto,Ethanol
1,k,0.25374299784509075,eto,Ethanol
2,x0,23.662400388537012,eto,Ethanol
