	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.18258830253426	561.45105	0.020842123488762354	0
1	Mannitol	l	73.91945105135267	825.1615	0.026781074672129535	0
2	Mannitol	l	73.87872457836335	15.8322315	2.239594323327765e-07	0
3	Mannitol	l	73.83533969483975	712.6905	0.028460212160183573	0
4	Mannitol	l	73.78719470601641	172.71515	0.0	0
5	Mannitol	l	73.76688468417603	76.58416	0.03178884663296344	0
6	Mannitol	l	73.71101161166763	798.578	0.02587910512528424	0
7	Mannitol	l	73.63549816874377	1447.5856	0.03580013547747285	0
8	Mannitol	l	73.56171697885301	637.8323	0.02187770591817184	0
9	Mannitol	l	73.48973184162432	92.67245	0.016564194602949556	0
10	Mannitol	l	73.43817718053967	977.3844	0.028203427291742855	0
11	Mannitol	l	73.38326552719744	0.05430729	3.8773978900508155e-05	0
12	Mannitol	l	73.3547002285328	1224.147	0.02268335024746193	0
13	Mannitol	l	73.16200676500245	190.75836	0.024720286047653417	0
14	Mannitol	l	72.35948511882287	375.96155	0.02987269331114817	0
15	Mannitol	l	72.16751958227604	1934.1544	0.03300747551830341	0
16	Mannitol	l	72.08374071240112	1388.7299	0.029124229116604283	0
17	Mannitol	l	71.95866262680343	1207.988	0.030917123647384415	0
18	Mannitol	l	71.87540749735709	1307.8016	0.028154897901970344	0
19	Mannitol	l	66.0304476038221	3531.4836	0.03041044003404636	0
20	Mannitol	l	65.76358422659101	2284.9036	0.028892495313783684	0
21	Mannitol	l	65.75070692535135	1628.1772	0.017803561869243367	0
22	Ethanol	l	60.22932669332579	433.92874	0.019752956868131832	0
23	Ethanol	l	59.9816351959125	391.38907	0.020626439183075718	0
24	Alanine	l	53.411980754534625	118.46185	0.08524057929841433	0
25	Alanine	l	53.189892476820916	135.4366	0.10111048783087995	0
26	Acetate	l	26.01804389758061	330.4654	0.02225993415035532	0
27	Acetate	l	25.67115056254366	354.4423	0.027669743611710373	0
28	Ethanol	l	19.575772459003474	499.02026	0.018414471158678225	0
29	Ethanol	l	19.32797514297556	501.3535	0.020524611875060828	0
30	Alanine	l	18.93549513324666	626.07666	0.02152585434436105	0
31	Alanine	l	18.70410442109747	569.8702	0.02665882837573008	0
