,parameter,values,met_id,met_name
0,L,28.637979428258745,mnl1p,Mannitol
1,k,-0.1908721093206671,mnl1p,Mannitol
2,x0,12.7493899534413,mnl1p,Mannitol
3,C,-0.8579794282587426,mnl1p,Mannitol
0,L,5.286069593339672,ac,Acetate
1,k,10.302420029800354,ac,Acetate
2,x0,11.851221578406344,ac,Acetate
0,L,5.262208195515888,alaL,Alanine
1,k,0.9676468728677784,alaL,Alanine
2,x0,13.279165720014058,alaL,Alanine
0,L,12.909194716634463,eto,Ethanol
1,k,0.29715712727695,eto,Ethanol
2,x0,18.664024147711103,eto,Ethanol
