1: 37C 5k
2: 37C 5k
3: 37C 5k 13C
5: 37C 5kHz
11: 1H  37C 5k
12: 13C 37C  13C
13: 1H(13C) 37C 5kHz
21: 1H  37C 5k
22: 13C 37C  13C
23: 1H(13C) 37C 5kHz
24: 1H  37C 5k
25: 13C 37C  13C
26: 1H(13C) 37C 5kHz
27: 1H  37C 5k
28: 13C 37C  13C
29: 1H(13C) 37C 5kHz
30: 1H  37C 5k
31: 13C 37C  13C
32: 1H(13C) 37C 5kHz
33: 1H  37C 5k
34: 13C 37C  13C
35: 1H(13C) 37C 5kHz
36: 1H  37C 5k
37: 13C 37C  13C
38: 1H(13C) 37C 5kHz
39: 1H  37C 5k
40: 13C 37C  13C
41: 1H(13C) 37C 5kHz
42: 1H  37C 5k
43: 13C 37C  13C
44: 1H(13C) 37C 5kHz
45: 1H  37C 5k
46: 13C 37C  13C
47: 1H(13C) 37C 5kHz
48: 1H  37C 5k
49: 13C 37C  13C
50: 1H(13C) 37C 5kHz
51: 1H  37C 5k
52: 13C 37C  13C
53: 1H(13C) 37C 5kHz
54: 1H  37C 5k
55: 13C 37C  13C
56: 1H(13C) 37C 5kHz
57: 1H  37C 5k
58: 13C 37C  13C
59: 1H(13C) 37C 5kHz
60: 1H  37C 5k
61: 13C 37C  13C
62: 1H(13C) 37C 5kHz
63: 1H  37C 5k
64: 13C 37C  13C
65: 1H(13C) 37C 5kHz
66: 1H  37C 5k
67: 13C 37C  13C
68: 1H(13C) 37C 5kHz
69: 1H  37C 5k
70: 13C 37C  13C
71: 1H(13C) 37C 5kHz
72: 1H  37C 5k
73: 13C 37C  13C
74: 1H(13C) 37C 5kHz
75: 1H  37C 5k
76: 13C 37C  13C
77: 1H(13C) 37C 5kHz
78: 1H  37C 5k
79: 13C 37C  13C
80: 1H(13C) 37C 5kHz
81: 1H  37C 5k
82: 13C 37C  13C
83: 1H(13C) 37C 5kHz
84: 1H  37C 5k
85: 13C 37C  13C
86: 1H(13C) 37C 5kHz
87: 1H  37C 5k
88: 13C 37C  13C
89: 1H(13C) 37C 5kHz
90: 1H  37C 5k
91: 13C 37C  13C
92: 1H(13C) 37C 5kHz
93: 1H  37C 5k
94: 13C 37C  13C
95: 1H(13C) 37C 5kHz
96: 1H  37C 5k
97: 13C 37C  13C
98: 1H(13C) 37C 5kHz
99: 1H  37C 5k
100: 13C 37C  13C
101: 1H(13C) 37C 5kHz
102: 1H  37C 5k
103: 13C 37C  13C
104: 1H(13C) 37C 5kHz
105: 1H  37C 5k
106: 13C 37C  13C
107: 1H(13C) 37C 5kHz
108: 1H  37C 5k
109: 13C 37C  13C
110: 1H(13C) 37C 5kHz
111: 1H  37C 5k
112: 13C 37C  13C
113: 1H(13C) 37C 5kHz
114: 1H  37C 5k
115: 13C 37C  13C
116: 1H(13C) 37C 5kHz
117: 1H  37C 5k
118: 13C 37C  13C
119: 1H(13C) 37C 5kHz
120: 1H  37C 5k
121: 13C 37C  13C
122: 1H(13C) 37C 5kHz
123: 1H  37C 5k
124: 13C 37C  13C
125: 1H(13C) 37C 5kHz
126: 1H  37C 5k
127: 13C 37C  13C
128: 1H(13C) 37C 5kHz
129: 1H  37C 5k
130: 13C 37C  13C
131: 1H(13C) 37C 5kHz
132: 1H  37C 5k
133: 13C 37C  13C
134: 1H(13C) 37C 5kHz
135: 1H  37C 5k
136: 13C 37C  13C
137: 1H(13C) 37C 5kHz
138: 1H  37C 5k
139: 13C 37C  13C
140: 1H(13C) 37C 5kHz
141: 1H  37C 5k
142: 13C 37C  13C
143: 1H(13C) 37C 5kHz
144: 1H  37C 5k
145: 13C 37C  13C
146: 1H(13C) 37C 5kHz
147: 1H  37C 5k
148: 13C 37C  13C
149: 1H(13C) 37C 5kHz
150: 1H  37C 5k
151: 13C 37C  13C
152: 1H(13C) 37C 5kHz
153: 1H  37C 5k
154: 13C 37C  13C
155: 1H(13C) 37C 5kHz
156: 1H  37C 5k
157: 13C 37C  13C
158: 1H(13C) 37C 5kHz
159: 1H  37C 5k
160: 13C 37C  13C
161: 1H(13C) 37C 5kHz
162: 1H  37C 5k
163: 13C 37C  13C
164: 1H(13C) 37C 5kHz
165: 1H  37C 5k
166: 13C 37C  13C
167: 1H(13C) 37C 5kHz
168: 1H  37C 5k
169: 13C 37C  13C
170: 1H(13C) 37C 5kHz
171: 1H  37C 5k
172: 13C 37C  13C
173: 1H(13C) 37C 5kHz
174: 1H  37C 5k
175: 13C 37C  13C
176: 1H(13C) 37C 5kHz
177: 1H  37C 5k
178: 13C 37C  13C
179: 1H(13C) 37C 5kHz
180: 1H  37C 5k
181: 13C 37C  13C
182: 1H(13C) 37C 5kHz
183: 1H  37C 5k
184: 13C 37C  13C
185: 1H(13C) 37C 5kHz
186: 1H  37C 5k
187: 13C 37C  13C
188: 1H(13C) 37C 5kHz
189: 1H  37C 5k
190: 13C 37C  13C
191: 1H(13C) 37C 5kHz
192: 1H  37C 5k
193: 13C 37C  13C
194: 1H(13C) 37C 5kHz
195: 1H  37C 5k
196: 13C 37C  13C
197: 1H(13C) 37C 5kHz
198: 1H  37C 5k
199: 13C 37C  13C
200: 1H(13C) 37C 5kHz
201: 1H  37C 5k
