	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.2680821520048	232.47368	0.061859052193540265	0
1	CO2	l	127.21163899902598	737.4463	0.009725804631131041	0
2	CO2	l	127.22153227594032	853.0344	0.015444033543303703	0
3	Ethanol	l	60.2651761445365	272.11746	0.023285276644912756	0
4	Ethanol	l	60.017546061282445	296.81232	0.02212898322582646	0
5	Alanine	l	53.46559624155475	191.92484	0.03193233068071777	0
6	Alanine	l	53.4070242881246	190.5089	0.035033348395785424	0
7	Alanine	l	53.28172601063119	931.77997	0.0005185223248815873	0
8	Alanine	l	53.23715547641973	205.69678	0.17762354655621948	0
9	Acetate	l	25.9780779870961	502.86008	0.02690854196484338	0
10	Acetate	l	25.630935103636745	491.09167	0.03243999898381844	0
11	Lactate	l	22.637014346481322	232.45761	0.027564803862645704	0
12	Ethanol	l	18.968606197011127	1144.9324	0.02042804069662907	0
13	Alanine	l	18.73654890894963	1152.996	0.025710526884012097	0
