,parameter,values,met_id,met_name
0,L,27.914240372150772,mn1p,Mannitol
1,k,-0.21553714810486604,mn1p,Mannitol
2,x0,13.539733240411918,mn1p,Mannitol
3,C,-0.13424037215076823,mn1p,Mannitol
0,L,10.363335148952615,ac,Acetate
1,k,0.7647637047338903,ac,Acetate
2,x0,11.077752892018818,ac,Acetate
0,L,6.807209370302111,alaL,Alanine
1,k,0.5910925660906933,alaL,Alanine
2,x0,16.490032005581668,alaL,Alanine
0,L,4.673294781046777,eto,Ethanol
1,k,1.1240636614304216,eto,Ethanol
2,x0,24.470897158471875,eto,Ethanol
