id,id,name,reaction_string,gene_rule,CD630_annotation,PBI_annotation
Bio_CW,Bio_CW,Cell wall synthesis,M-CLP-c_c0 + Teichoic acid=>M-CW-c_c0,,,
Bio_prot,Bio_prot,Protein synthesis,L-Alanine + L-Arginine + L-Asparagine + L-Aspartate + ATP + L-Cysteine + L-Glutamine + L-Glutamate + Glycine + H2O + L-Histidine + L-Isoleucine + L-Leucine + L-Lysine + L-Methionine + L-Phenylalanine + L-Proline + L-Serine + L-Threonine + L-Tryptophan + L-Tyrosine + L-Valine=>Protein + ADP + Phosphate,,,
Bio_CLP,Bio_CLP,Peptidoglycan synthesis,M-udpamagdapaa-c_c0 + ATP + H2O + UDP-N-acetylglucosamine=>M-CLP-c_c0 + ADP + D-Alanine + Phosphate + UDP,CD630_26510,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)
Bio_RNA,Bio_RNA,RNA synthesis,ATP + CTP + GTP + H2O + UTP=>RNA + ADP + Phosphate + PPi,,,
Bio_DNA,Bio_DNA,DNA synthesis,ATP + dATP + dCTP + dGTP + TTP + H2O=>DNA + ADP + Phosphate + PPi,,,
Bio_SPs,Bio_SPs,Solute Pool,Acetyl-CoA + L-Alanine + L-Arginine + L-Aspartate + ATP + Citrulline + CoA + FAD + D-Glucose + L-Glutamine + L-Glutamate + Glycine + L-Histidine + L-Isoleucine + L-Leucine + L-Lysine + L-Methionine + NAD + NADH + NADP + NADPH + L-Phenylalanine + Phosphate + L-Proline + L-Serine + L-Threonine + Thymine + L-Valine=>M-SPs-c_c0,,,
Bio_lip,Bio_lip,Lipid composition,"Diglucosyl-1,2 dimyristoylglycerol + Diglucosyl-1,2 dipalmitoylglycerol + Monoglucosyl-1,2 dimyristoylglycerol + Monoglucosyl-1,2 dipalmitoylglycerol + M-mycdlpn-c_c0 + Myristoyllysylphophatidylglycerol + M-palmcdlpn-c_c0 + Palmitoyllysylphophatidylglycerol + Phosphatidylglycerol dihexadecanoyl + Phosphatidylglycerol dioctadecanoyl + Phosphatidylglycerol ditetradecanoyl + M-strcdlpn-c_c0 + Stearoyllysylphophatidylglycerol=>Lipid",,,
bio1,bio1,Biomass Reaction,M-CW-c_c0 + DNA + Lipid + Protein + RNA + M-SPs-c_c0 + ATP + H2O=>Biomass + ADP + Phosphate,,,
Trans_gluL,Trans_gluL,amino-acid ABC transport (L-glutamate),ATP + L-Glutamate [e0] + H2O=>ADP + L-Glutamate + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_asnL,Trans_asnL,L-asparagine transporter,L-Asparagine + ATP + H2O=>ADP + L-Asparagine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_aspL2,Trans_aspL2,L-aspartate transporter,L-Aspartate [e0] + ATP + H2O=>ADP + L-Aspartate + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_ptrc,Trans_ptrc,putrescine ABC transport,ATP + H2O + Putrescine [e0]=>ADP + Phosphate + Putrescine,CD630_10240 and CD630_10260 and CD630_10250 and CD630_10270,"ABC-type transport system,spermidine/putrescine solute-binding protein",Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)
Trans_atp,Trans_atp,sodium extrusion ABC transporter,ATP + H2O + Na+ [e0]=>ADP + Na+ + Phosphate,CD630_16140 or CD630_16590 or CD630_05910 or CD630_16150,"ABC-type transport system, permease",hypothetical protein
Trans_glnL,Trans_glnL,amino-acid ABC transport (L-glutamine),L-Glutamine + ATP + H2O=>ADP + L-Glutamine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_pi2,Trans_pi2,phosphate active transporter,ATP + H2O + Phosphate [e0]=>ADP + Phosphate,CD630_32630 or CD630_32620 or CD630_32680 or CD630_32610,"ABC-type transport system, phosphate-specific ATP-binding",Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
Trans_argL,Trans_argL,L-arginine transporter,L-Arginine [e0] + ATP + H2O=>ADP + L-Arginine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_his,Trans_his,amino-acid ABC transport (L-histidine),L-Histidine + ATP + H2O=>ADP + L-Histidine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_tyrL,Trans_tyrL,amino-acid ABC transport (L-tyrosine),L-Tyrosine + ATP + H2O=>ADP + Phosphate + L-Tyrosine,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_zn2,Trans_zn2,zinc exporter ABC transport,ATP + H2O + Zn2+=>ADP + Phosphate + Zn2+ [e0],CD630_03130,putative K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporting P-type ATPase,"Cadmium, zinc and cobalt-transporting P-type ATPase (EC 3.6.3.3) (EC 3.6.3.5)"
Trans_fe2,Trans_fe2,Iron atp driven transport,Fe + ATP + H2O=>Fe + ADP + Phosphate,CD630_16470 or CD630_16480 or CD630_16490 or CD630_16500,"ABC-type transport system, iron-family ATP-binding protein",Iron compound ABC uptake transporter ATP-binding protein
Trans_cysL,Trans_cysL,amino-acid ABC transport (L-cysteine),L-Cysteine + ATP + H2O=>ADP + L-Cysteine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_c1ala,Trans_c1ala,Vitamin B12 transport,Methylcobalamin + ATP + H2O=>Methylcobalamin + ADP + Phosphate,(CD630_28750 and CD630_28760 and CD630_28780) or (CD630_29750 and CD630_28770 and CD630_28780),"ABC-type transport system, ferrichrome-specific permease","ABC-type Fe3+-siderophore transport system, permease component"
Trans_metL,Trans_metL,amino-acid ABC transport (L-methionine),L-Methionine + ATP + H2O=>ADP + L-Methionine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_trpL,Trans_trpL,amino-acid ABC transport (L-tryptophan),ATP + H2O + L-Tryptophan [e0]=>ADP + Phosphate + L-Tryptophan,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_spmd,Trans_spmd,spermine ABC transport,ATP + H2O + Spermidine [e0]=>ADP + Phosphate + Spermidine,CD630_10240 or CD630_10260,"ABC-type transport system,spermidine/putrescine permease",Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)
