Metabolite_to_reach,modelseed_id,EC,RXN,Enzyme,Reaction,Input,Compound,In model,Output,
N-Acetyl-L-citrulline [c0],cpd11209_c0,2.3.1.1,rxn00192,Amino-acid N-acetyltransferase,L-citrulline + Acetyl-CoA → N-acetyl-L-citrulline + CoA,L-citrulline ,cpd00274_c0,yes,N-acetyl-L-citrulline,
5-methylcytosine,cpd01587,2.1.1.37,rxn05821,DNA (cytosine-5-)-methyltransferase,Cytosine + S-adenosyl-L-methionine → 5-methylcytosine + S-adenosyl-L-homocysteine,Cytosine,cpd00307,yes,5-methylcytosine,
,,,,,,S-adenosyl-L-methionine ,cpd00017,yes,,
dipicolinate,cpd15596,?,rxn10061 ,dipicolinate synthase,NAD + Dihydrodipicolinate <=> NADH + H+ + Dipicolinate,Dihydrodipicolinate,cpd02120,yes,Dipicolinate,
imidazole lactate,cpd03300,1.1.1.B36,rxn03330 ,Imidazole pyruvate reductase,Imidazole pyruvate + NADH + H+ → imidazole lactate + NAD+,Imidazole pyruvate,cpd02091,no,imidazole lactate ,
,,2.6.1.38,rxn00862,Histidine transaminase,L-histidine + 2-oxoglutarate ⇌ imidazole pyruvate + L-glutamate,L-histidine,,yes,,
,,,,,, 2-oxoglutarate,,yes,,
indoleacetate,cpd00703,1.2.1.3,rxn01937,Indole-3-acetaldehyde:NAD+ oxidoreductase,Indole-3-acetaldehyde + NAD⁺ + H₂O → indole-3-acetate + NADH + H⁺,Indole-3-acetaldehyde ,,no,,
,,4.1.1.74,rxn01450,Indolepyruvate decarboxylase,3-indolepyruvate → indole-3-acetaldehyde + CO₂,3-indolepyruvate ,cpd00278,no,,
,,2.6.1.27,rxn00483,tryptophan transaminase,L-tryptophan + 2-oxoglutarate = (indol-3-yl)pyruvate + L-glutamate,L-tryptophan,cpd00065,yes,(indol-3-yl)pyruvate ,
,,,,,,,,,,
indolelactate,cpd01394,1.1.1.110,rxn01447,Indolelactate:NAD+ oxidoreductase,NAD + Indolelactate <=> NADH + H+ + Indolepyruvate,Indolepyruvate,cpd00278,no,Indolelactate,
N('1)-acetylspermidine,cpd00470,2.3.1.57,rxn06523,"Acetyl-CoA + Alkane-alpha,omega-diamine => CoA + N-Acetyldiamine",acetyl-CoA + spermidine → N1-acetylspermidine + coenzyme A + H+,spermidine,cpd00264,yes,cpd00264,
N-acetyl-beta-glucosaminylamine,,3.5.1.26,rxn02452,N4-(beta-N-acetyl-D-glucosaminyl)-L-asparagine amidohydrolase,N4-(Acetyl-beta-D-glucosaminyl)asparagine + H2O <=> N-Acetyl-beta-D-glucosaminylamine + L-Aspartate,N4-(Acetyl-beta-D-glucosaminyl)asparagine,cpd02763,no,,
,,3.2.2.11,rxn15163,1-beta-aspartyl-N-acetyl-D-glucosaminylamine L-asparaginohydrolase,N-Acetyl-D-glucosamine + L-Asparagine <=>   N4-(Acetyl-beta-D-glucosaminyl)asparagine + H2O,N-Acetyl-D-glucosamine ,cpd00122,yes,,
N-acetylasparagine,,2.3.1.1  ,rxn00192,Amino-acid N-acetyltransferase,L-asparagine + Acetyl-CoA → N-acetyl-L-asparagine + CoA + H+,L-Asparagine,cpd00132,yes,N-acetyl-L-asparagine,cpd25519
N-acetylaspartate (NAA),cpd00767,2.3.1.17,rxn00344,Acetyl-CoA:L-aspartate N-acetyltransferase,L-aspartate + acetyl-CoA → N-acetyl-L-aspartate + coenzyme A + H+,L-aspartate,cpd00041,yes,N-Acetyl-L-aspartate,cpd00767
N-acetylglucosaminylasparagine,,3.2.2.11,,,,N4-(Acetyl-beta-D-glucosaminyl)asparagine,cpd02763,yes,,
N-acetylglutamine,,,rxn19833,glutamine N-acyltransferase,L-glutamine + acetyl-CoA → N-acetyl-L-glutamine + coenzyme A + H+,L-glutamine,cpd00053,yes,,
N-acetylhistidine,,,rxn00861,histidine N-acyltransferase,L-histidine+ acetyl-CoA → N-acetyl-L-histidine + coenzyme A + H+,L-histidine,cpd00119,yes,,
N-acetyltryptophan,,,new,tryptophan N-acyltransferase,L-tryptophan+ acetyl-CoA → N-acetyl-L-tryptophan + coenzyme A + H+,L-tryptophan,cpd00065,yes,,
N-formylmethionine,,2.1.2.9  ,rxn20195,methionyl-transfer RNA transformylase,10-Formyltetrahydrofolate + L-methionyl-tRNAfmet <= H+ + Tetrahydrofolate + N-formyl-L-methionyl-tRNAfmet,10-Formyltetrahydrofolate ,cpd00201,yes,,
,,,,,,L-methionyl-tRNAfmet,cpd27378,no,,
,,,rxn41178,,ATP + L-Methionine + ALA-tRNAs <=> PPi + AMP + H+ + L-methionyl-tRNAfmet,ALA-tRNAs ,cpd22249,no,,
,,,rxn48506,, PPi + AMP <=> ATP + L-Alanine + ALA-tRNAs,,,,,
picolinate,??? (comes from lysine),,,,,,,,,
,synthesis appears mammal specific based on the paper Lynn sent,,,,,,,,,
2-hydroxybutyrate/2-hydroxyisobutyrate,,R01000,rxn00741,,NADH + H+ + 2-Oxobutyrate <=>  NAD + 2-Hydroxybutyrate,2-Oxobutyrate,cpd00094,yes,,
3-(4-hydroxyphenyl)lactate,,R03337,rxn02393,R)-3-(4-hydroxyphenyl)lactate:NAD+ 2-oxidoreductase,NADH + H+ + p-hydroxyphenylpyruvate <=> NAD + (R)-3-(4-Hydroxyphenyl)lactate,p-hydroxyphenylpyruvate,cpd00868,yes,,
Dihydrobiopterin [c0],???,1.1.1.153,rxn02985,,,,,,,
,,4.2.3.12,rxn02986,,,,,,,
,,3.5.4.16,rxn00299,,,,,,,
4-hydroxyphenylacetate sulfate,,,rxn01943 ,4-Hydroxyphenylacetaldehyde:NAD+ oxidoreductase,H2O + NAD + 4-Hydroxyphenylacetaldehyde <=> NADH + (2) H+ + 4-Hydroxyphenylacetate,,,,,
,,,rxn02396,4-hydroxyphenylpyruvate decarboxylase,4-hydroxyphenylpyruvate  <=> 4-hydroxyphenylacetaldehyde + CO2,,,,,
,,,rxn00527,L-tyrosine:2-oxoglutarate aminotransferase,L-tyrosine + 2-oxoglutarate → 4-hydroxyphenylpyruvate + L-glutamate,L-tyrosine,cpd00069,yes,,
,,,,,,,,,,
gamma-aminobutyrate (GABA),,4.1.1.15,rxn00194,L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming),L-Glutamate + H+ => CO2 + GABA,L-Glutamate,cpd00023,yes,,
