run	isotope	met	shift_reference	shift_actual	p0	p1
20210519	13C	13CGlc	72.405	69.95	70.34	99.86
20210525	13C	13CGlc	72.405	69.95	81	84
20210404	13C	13CGlc	72.405	69.355	84	81
20210723	13C	13CGlc	72.405	69.884	15	100
20210731	13C	13CLeu	42.279	38.788	84	81
20220325	13C	13CGlc	72.405	69.79	84	81
20220321	13C	13CGlc	72.405	69.79	84	81
20220421	13C	13CGlc	72.405	69.79	84	81
20210103	13C	13CGlc	72.405	72.405	84	81
20201230	13C	13CPro	26.426	23.317	68.21	101.12
20210519	1H	13CGlc	1.9059	1.9046	-24.2	50.2
20201230	1H	13CPro	1.9924	1.9945	-90	0
20210322	1H	13CLeu	1.9059	1.8966	-90	0
20210322	13C	13CLeu	23.5722	20.578	90	71
